"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"29356","J.Anderson","Jackson","Anderson",2017,NA,NA,NA,NA,NA,1,"LS","TB","home","CHI",29.7105158730159
"29370","J.Anderson","Jackson","Anderson",NA,NA,NA,NA,NA,NA,NA,"LS",NA,NA,NA,NA
"29390","J.Bademosi","Johnson","Bademosi",2017,NA,NA,NA,NA,NA,1,"DB","DET","home","GB",29.5987341772152
"29404","J.Bademosi","Johnson","Bademosi",2017,NA,NA,NA,NA,NA,1,"DB","OAK","home","NE",34.1227777777778
"29534","J.Banks","Jon","Banks",2017,NA,NA,NA,1,NA,2,"LB","KC","away","HOU",30.4824652777778
"29544","J.Banks","Johnthan","Banks",2017,NA,NA,NA,1,NA,2,"DB","NE","home","HOU",29.8385658914729
"29558","J.Bates","Jackie","Bates",2018,NA,NA,NA,1,NA,7,"DB","ATL","home","CIN",29.6547101449275
"29586","J.Bates","Jackie","Bates",2018,NA,NA,NA,3,NA,7,"DB","KC","home","CIN",29.1513565891473
"29614","J.Bates","Jackie","Bates",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"29618","J.Belcher","Jovan","Belcher",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"29628","J.Bethel","Justin","Bethel",2018,NA,NA,NA,NA,NA,1,"DB","ATL","away","WAS",30.0781746031746
"29642","J.Bethel","Justin","Bethel",2017,NA,NA,NA,1,NA,1,"DB","SEA","home","ARI",34.155625
"29730","J.Bostic","Jon","Bostic",2018,1,NA,NA,1,NA,1,"LB","CIN","home","PIT",31.6939393939394
"29800","J.Bostic","Jon","Bostic",2017,NA,NA,NA,3,NA,5,"LB","SEA","home","IND",33.2629166666667
"29838","J.Bradberry","James","Bradberry",2017,2,1,NA,1,NA,5,"DB","MIN","away","CAR",30.4403703703704
"29852","J.Bradberry","James","Bradberry",2017,3,1,NA,NA,NA,10,"DB","TB","home","CAR",29.1705761316872
"29864","J.Bromley","Jay","Bromley",2017,NA,NA,NA,NA,0,1,"DT","OAK","home","NYG",32.0117063492063
"29878","J.Brown","Joe","Brown",2018,NA,NA,NA,1,NA,4,"DT","ARI","away","LAC",26.12109375
"29964","J.Brown","Jerald","Brown",2017,NA,NA,NA,NA,NA,5,"DB","BAL","away","TEN",32.6286941580756
"29978","J.Brown","Jordan","Brown",2017,NA,NA,NA,NA,NA,5,"DB","BAL","away","TEN",32.6286941580756
"30017","J.Brown","Justin","Brown",2017,NA,NA,NA,1,0,2,"DE","BUF","away","LAC",31.6948412698413
"30048","J.Brown","Jalil","Brown",2018,1,NA,NA,NA,1,2,"DB","BUF","home","LAC",32.1526422764228
"30108","J.Brown","Jonathan","Brown",2018,1,NA,NA,2,NA,3,"LB","CIN","away","LAC",33.0811507936508
"30164","J.Brown","Jatavis","Brown",2017,NA,NA,NA,1,NA,2,"LB","CLE","home","TEN",34.9689138576779
"30209","J.Brown","Jerry","Brown",2018,NA,NA,1,1,1,3,"OLB","DAL","home","TEN",30.6372146118721
"30220","J.Brown","Jayon","Brown",2018,NA,NA,1,1,1,3,"LB","DAL","home","TEN",30.6372146118721
"30256","J.Brown","Joe","Brown",2018,1,NA,NA,1,NA,7,"DT","DEN","away","LAC",32.590990990991
"30342","J.Brown","Jerald","Brown",2018,NA,NA,NA,NA,NA,2,"DB","HOU","away","TEN",29.443137254902
"30356","J.Brown","Jordan","Brown",2018,NA,NA,NA,NA,NA,2,"DB","HOU","away","TEN",29.443137254902
"30395","J.Brown","Justin","Brown",2018,NA,NA,NA,3,1,2,"DE","HOU","home","TEN",32.2112449799197
"30426","J.Brown","Jalil","Brown",2017,2,NA,NA,NA,NA,2,"DB","IND","away","TEN",32.7232456140351
"30486","J.Brown","Jonathan","Brown",2018,1,NA,NA,3,NA,2,"LB","IND","home","TEN",30.1810810810811
"30542","J.Brown","Jatavis","Brown",2018,1,NA,NA,NA,0,2,"LB","JAX","away","TEN",31.1805555555556
"30587","J.Brown","Jerry","Brown",2017,1,NA,NA,NA,NA,1,"OLB","JAX","home","TEN",30.7858024691358
"30598","J.Brown","Jayon","Brown",2017,1,NA,NA,NA,NA,1,"LB","JAX","home","TEN",30.7858024691358
"30634","J.Brown","Joe","Brown",2017,NA,NA,NA,4,NA,2,"DT","KC","away","LAC",33.4117370892019
"30720","J.Brown","Jerald","Brown",2017,NA,NA,NA,1,NA,7,"DB","KC","home","LAC",32.8138888888889
"30734","J.Brown","Jordan","Brown",2017,NA,NA,NA,1,NA,7,"DB","KC","home","LAC",32.8138888888889
"30773","J.Brown","Justin","Brown",2018,NA,NA,NA,1,NA,1,"DE","LA","away","SEA",31.3135531135531
