"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"16","A.Adams","Anthony","Adams",2018,1,NA,NA,NA,NA,2,"DT","CIN","home","TB",31.8807971014493
"18","A.Adams","Andrew","Adams",2018,1,NA,NA,NA,NA,2,"DB","CIN","home","TB",31.8807971014493
"58","A.Adams","Anthony","Adams",2017,1,NA,NA,2,0,4,"DT","WAS","away","NYG",26.5253333333333
"60","A.Adams","Andrew","Adams",2017,1,NA,NA,2,0,4,"DB","WAS","away","NYG",26.5253333333333
"134","A.Anzalone","Alex","Anzalone",2017,NA,NA,NA,NA,NA,1,"LB","MIA","home","NO",29.5791044776119
"150","A.Armstead","Armond","Armstead",2017,NA,NA,NA,NA,NA,3,"DL","CAR","away","SF",29.9120481927711
"155","A.Armstead","Arik","Armstead",2018,NA,NA,NA,1,0,2,"DE","DET","away","SF",33.9779461279461
"164","A.Armstead","Armond","Armstead",2018,NA,NA,NA,NA,1,5,"DL","LA","away","SF",29.4380952380952
"169","A.Armstead","Arik","Armstead",2018,NA,NA,NA,NA,0,3,"DE","MIN","home","SF",32.2982456140351
"178","A.Armstead","Armond","Armstead",2018,NA,NA,NA,1,NA,1,"DL","SEA","home","SF",30.8588607594937
"183","A.Armstead","Arik","Armstead",2017,NA,NA,NA,NA,NA,2,"DE","WAS","home","SF",31.6414855072464
"186","A.Averett","Anthony","Averett",2018,1,NA,NA,NA,NA,NA,"DB","OAK","away","BAL",25.393125
"190","A.Ayers","Akeem","Ayers",2017,NA,NA,NA,NA,NA,1,"LB","PHI","away","NYG",31.9871212121212
"239","A.Bailey","Allen","Bailey",2018,NA,NA,NA,NA,1,1,"DE","LA","home","KC",31.2354938271605
"309","A.Bailey","Allen","Bailey",2018,NA,NA,NA,1,1,3,"DE","SF","away","KC",29.885632183908
"333","A.Barr","Anthony","Barr",2017,NA,NA,NA,1,0,3,"OLB","DET","home","MIN",29.1238738738739
"347","A.Barr","Anthony","Barr",2018,1,NA,NA,1,NA,1,"OLB","SF","away","MIN",30.671686746988
"394","A.Blackson","Angelo","Blackson",2018,NA,NA,NA,NA,1,3,"DT","NYG","away","HOU",31.1713080168776
"407","A.Boone","Alfonso","Boone",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"424","A.Bouye","A.J.","Bouye",2017,1,1,NA,NA,NA,3,"DB","LAC","away","JAX",33.4925093632959
"438","A.Bouye","A.J.","Bouye",2018,NA,NA,NA,1,NA,1,"DB","WAS","away","JAX",33.1492673992674
"526","A.Brooks","Ahmad","Brooks",2017,NA,NA,NA,1,NA,NA,"LB","DET","home","GB",29.5987341772152
"592","A.Brown","Alex","Brown",2017,1,NA,NA,3,NA,2,"DB","ATL","home","DAL",33.4934156378601
"634","A.Brown","Alex","Brown",2018,1,NA,NA,NA,NA,2,"DB","CAR","home","DAL",31.1184981684982
"676","A.Brown","Alex","Brown",2017,1,NA,NA,1,NA,6,"DB","DEN","home","DAL",28.8602836879433
"718","A.Brown","Alex","Brown",2017,NA,NA,NA,2,NA,3,"DB","GB","away","DAL",34.6267932489451
"760","A.Brown","Alex","Brown",2018,NA,NA,NA,NA,NA,3,"DB","IND","home","DAL",33.5703488372093
"802","A.Brown","Alex","Brown",2017,NA,NA,NA,NA,NA,4,"DB","KC","away","DAL",30.9106060606061
"844","A.Brown","Alex","Brown",2017,1,NA,NA,NA,NA,3,"DB","LAC","away","DAL",33.1922619047619
"886","A.Brown","Alex","Brown",2017,1,1,NA,NA,NA,1,"DB","NYG","away","DAL",34.7472222222222
"928","A.Brown","Alex","Brown",2017,NA,NA,NA,NA,NA,1,"DB","NYG","home","DAL",33.5021452145215
"970","A.Brown","Alex","Brown",2017,1,NA,NA,NA,0,3,"DB","PHI","away","DAL",28.2311688311688
"1012","A.Brown","Alex","Brown",2017,2,NA,NA,NA,1,5,"DB","PHI","home","DAL",30.2897286821705
"1054","A.Brown","Alex","Brown",2018,NA,NA,NA,NA,NA,1,"DB","PIT","away","CLE",37.7767295597484
"1096","A.Brown","Alex","Brown",2018,NA,NA,NA,NA,NA,1,"DB","PIT","home","NE",28.315367965368
"1138","A.Brown","Alex","Brown",2017,NA,NA,NA,1,NA,4,"DB","SF","home","DAL",30.4224279835391
"1180","A.Brown","Alex","Brown",2017,NA,1,NA,NA,NA,1,"DB","WAS","away","DAL",30.1262820512821
"1222","A.Brown","Alex","Brown",2017,NA,NA,NA,1,NA,2,"DB","WAS","home","DAL",32.675
"1247","A.Bryant","Austin","Bryant",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"1304","A.Butler","Adam","Butler",2018,NA,NA,NA,NA,NA,1,"DT","MIA","home","NE",30.582380952381
"1310","A.Calitro","Austin","Calitro",2018,1,NA,NA,3,NA,6,"LB","CHI","home","SEA",29.5399176954733
"1331","A.Chickillo","Anthony","Chickillo",2017,NA,NA,NA,NA,1,2,"DE","CHI","home","PIT",32.8976744186047
"1345","A.Chickillo","Anthony","Chickillo",2017,NA,NA,NA,1,NA,NA,"DE","TEN","away","PIT",29.2501915708812
"1359","A.Clayborn","Adrian","Clayborn",2018,NA,NA,NA,NA,0,1,"DE","KC","away","NE",29.6437777777778
"1376","A.Colbert","Adrian","Colbert",2017,NA,NA,NA,1,NA,5,"DB","JAX","away","SF",35.9313636363636
"1404","A.Colvin","Aaron","Colvin",2018,NA,NA,NA,2,NA,4,"DB","NYG","away","HOU",31.1713080168776
"1432","A.Davis","Antwuan","Davis",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"1458","A.Donald","Aaron","Donald",2018,NA,NA,1,NA,2,5,"DT","DET","home","LA",34.9786738351254
"1472","A.Donald","Aaron","Donald",2017,NA,NA,NA,1,0,1,"DT","MIN","home","LA",32.6433673469388
"1486","A.Donald","Aaron","Donald",2017,NA,NA,NA,2,0,2,"DT","SEA","away","LA",28.2134099616858
"1500","A.Donald","Aaron","Donald",2017,NA,NA,NA,NA,0,1,"DT","WAS","away","LA",30.7601851851852
"1520","A.Gachkar","Andrew","Gachkar",2017,NA,NA,NA,2,1,4,"LB","PHI","home","DAL",30.2897286821705
"1542","A.Gotsis","Adam","Gotsis",2018,1,NA,1,2,1,3,"DT","CLE","away","DEN",31.7698039215686
"1556","A.Gotsis","Adam","Gotsis",2017,NA,NA,NA,NA,NA,2,"DT","NYJ","away","DEN",32.7615384615385
"1586","A.Hal","Andre","Hal",2017,NA,NA,NA,NA,NA,3,"DB","BAL","home","HOU",32.0717391304348
"1600","A.Hal","Andre","Hal",2017,NA,NA,NA,3,NA,3,"DB","PIT","away","HOU",28.3234234234234
"1920","A.Hicks","Akiem","Hicks",2017,NA,NA,NA,1,0,1,"DT","CLE","away","CHI",29.7227477477477
"1948","A.Hicks","Akiem","Hicks",2018,NA,NA,1,NA,1,3,"DT","GB","home","CHI",33.3825
"1976","A.Hicks","Akiem","Hicks",2017,NA,NA,NA,NA,1,2,"DT","NO","home","CHI",32.5725108225108
"2004","A.Hicks","Akiem","Hicks",2018,NA,NA,NA,NA,1,1,"DT","TB","away","CHI",30.1137860082305
"2013","A.Hitchens","Anthony","Hitchens",2018,NA,NA,NA,1,NA,4,"OLB","DEN","away","KC",31.6945692883895
"2027","A.Hitchens","Anthony","Hitchens",2017,NA,NA,NA,NA,NA,5,"OLB","PHI","home","DAL",30.2897286821705
"2080","A.Jackson","Andrew","Jackson",2018,1,1,NA,1,NA,2,"LB","BUF","home","TEN",29.8986111111111
"2164","A.Jackson","Andrew","Jackson",2018,NA,NA,NA,1,NA,1,"LB","HOU","home","TEN",32.2112449799197
"2248","A.Jackson","Andrew","Jackson",2018,1,NA,NA,NA,NA,NA,"LB","JAX","home","TEN",27.2907407407407
"2332","A.Jackson","Andrew","Jackson",2018,NA,NA,NA,NA,NA,7,"LB","NYJ","away","TEN",33.7601851851852
"2472","A.Johnson","A.J.","Johnson",2018,1,NA,NA,NA,NA,1,"LB","BAL","away","TEN",30.5311594202899
"2612","A.Johnson","A.J.","Johnson",2017,NA,NA,NA,NA,NA,1,"LB","IND","home","TEN",28.3573170731707
"2752","A.Johnson","A.J.","Johnson",2017,NA,NA,NA,NA,NA,1,"LB","MIA","home","TEN",34.7686991869919
"2878","A.Jones","Alvin","Jones",2017,NA,NA,NA,NA,NA,2,"LB","BAL","away","JAX",32.3902953586498
"2916","A.Jones","Adam","Jones",2018,NA,NA,NA,3,NA,NA,"DB","BUF","home","JAX",32.6582304526749
"2934","A.Jones","A.J.","Jones",2017,NA,NA,NA,NA,NA,1,"LB","CIN","away","JAX",30.9515432098765
"2978","A.Jones","Arthur","Jones",2017,NA,NA,NA,1,NA,NA,"DL","CLE","home","CIN",32.759496124031
"2992","A.Jones","Aki","Jones",2017,NA,NA,NA,NA,NA,1,"DL","CLE","home","JAX",32.3259523809524
"3040","A.Jones","Abry","Jones",2018,NA,NA,NA,NA,NA,1,"DT","DET","away","MIN",33.0616858237548
"3088","A.Jones","Alvin","Jones",2018,1,NA,NA,NA,NA,NA,"LB","HOU","away","DEN",27.8682926829268
"3126","A.Jones","Adam","Jones",2017,NA,NA,NA,1,0,NA,"DB","HOU","home","JAX",32.5561403508772
"3144","A.Jones","A.J.","Jones",2017,NA,NA,NA,NA,NA,1,"LB","IND","away","CIN",30.1164912280702
"3188","A.Jones","Arthur","Jones",2017,NA,NA,NA,NA,NA,4,"DL","IND","home","JAX",33.8601364522417
"3202","A.Jones","Aki","Jones",2018,NA,NA,NA,2,NA,2,"DL","IND","home","JAX",28.5549783549784
"3250","A.Jones","Abry","Jones",2018,NA,NA,NA,1,NA,NA,"DT","KC","home","JAX",31.1710622710623
"3298","A.Jones","Alvin","Jones",2018,NA,NA,NA,NA,NA,1,"LB","NE","away","JAX",29.8636363636364
"3336","A.Jones","Adam","Jones",2018,NA,NA,NA,NA,NA,3,"DB","OAK","away","DEN",29.4313725490196
"3354","A.Jones","A.J.","Jones",2018,NA,NA,NA,NA,NA,2,"LB","PHI","away","JAX",30.1447916666667
"3398","A.Jones","Arthur","Jones",2017,3,NA,NA,NA,NA,2,"DL","PIT","home","JAX",32.565625
"3412","A.Jones","Aki","Jones",2018,1,1,NA,NA,NA,2,"DL","SEA","away","DEN",31.5327004219409
"3460","A.Jones","Abry","Jones",2018,NA,NA,NA,NA,NA,1,"DT","TEN","away","JAX",32.5321705426357
"3536","A.Klein","A.J.","Klein",2018,NA,NA,NA,1,NA,6,"LB","CLE","away","NO",33.5430041152263
"3550","A.Klein","A.J.","Klein",2018,NA,NA,NA,1,1,3,"LB","TB","home","NO",29.1202898550725
"3557","A.Lanier","Anthony","Lanier",2017,NA,NA,NA,1,1,1,"DE","NYG","away","WAS",30.0940404040404
"3630","A.Maddox","Andre","Maddox",2018,NA,NA,NA,4,NA,4,"DB","DAL","away","PHI",30.0942652329749
"3656","A.Maddox","Anthony","Maddox",2018,1,1,NA,NA,NA,NA,"DT","TEN","home","PHI",35.9181318681319
"3658","A.Maddox","Avonte","Maddox",2018,1,1,NA,NA,NA,NA,"DB","TEN","home","PHI",35.9181318681319
"3676","A.Morrison","Antonio","Morrison",2018,NA,NA,NA,NA,NA,1,"LB","ATL","away","GB",32.1471264367816
"3690","A.Morrison","Antonio","Morrison",2018,NA,NA,NA,NA,NA,1,"LB","LA","home","GB",33.1048076923077
"3711","A.Moss","Avery","Moss",2017,NA,NA,NA,1,NA,NA,"DE","PHI","away","NYG",31.9871212121212
"3725","A.Muhammad","Al-Quadin","Muhammad",2018,NA,NA,NA,1,NA,1,"DE","NYJ","home","IND",32.9404513888889
"3732","A.Ogletree","Alec","Ogletree",2018,NA,NA,NA,1,0,2,"LB","ATL","home","NYG",33.4015325670498
"3746","A.Ogletree","Alec","Ogletree",2017,1,NA,NA,2,NA,4,"LB","PHI","away","LA",30.5454166666667
"3767","A.Okafor","Alex","Okafor",2018,NA,NA,NA,2,NA,1,"DE","DAL","home","NO",29.9590038314176
"4006","A.Robinson","A'Shawn","Robinson",2018,NA,NA,NA,2,1,4,"DT","ARI","home","DET",33.9481927710843
"4103","A.Robinson","Adrian","Robinson",2017,1,NA,NA,3,0,6,"DE","GB","away","DET",32.4435483870968
"4132","A.Robinson","A'Shawn","Robinson",2018,NA,NA,NA,2,NA,3,"DT","LA","away","DET",30.7774621212121
"4229","A.Robinson","Adrian","Robinson",2017,NA,NA,NA,NA,NA,2,"DE","SF","away","HOU",31.6140350877193
"4258","A.Robinson","A'Shawn","Robinson",2017,NA,NA,NA,1,0,NA,"DT","TB","home","DET",31.3224206349206
"4355","A.Smith","Antonio","Smith",2017,NA,NA,NA,NA,NA,1,"DE","KC","away","NYG",34.3522222222222
"4386","A.Talib","Aqib","Talib",2017,NA,NA,NA,4,NA,4,"DB","OAK","away","DEN",31.7176940639269
"4398","A.Taylor","Adrian","Taylor",2018,1,NA,NA,NA,NA,4,"DT","CAR","away","TB",35.6509920634921
"4426","A.Taylor","Adrian","Taylor",2018,NA,NA,1,2,NA,2,"DT","NYG","home","TB",32.86
"4454","A.Taylor","Adrian","Taylor",NA,NA,NA,NA,NA,NA,NA,"DT",NA,NA,NA,NA
"4460","A.Thomas","Ahmad","Thomas",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"4470","A.Verner","Alterraun","Verner",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"4530","A.Walker","Anthony Jr.","Walker",2018,NA,NA,NA,2,NA,12,"LB","JAX","away","IND",32.7073476702509
"4750","A.Witherspoon","Ahkello","Witherspoon",2017,1,NA,1,NA,NA,4,"DB","LA","home","SF",30.0917602996255
"4770","A.Woods","Al","Woods",2018,NA,NA,NA,NA,NA,1,"DL","CAR","home","DAL",31.1184981684982
"4784","A.Woods","Al","Woods",2018,NA,NA,NA,1,NA,NA,"DL","HOU","home","DAL",34.724358974359
"4798","A.Woods","Al","Woods",2018,NA,NA,NA,NA,0,1,"DL","NE","home","IND",28.545652173913
"4812","A.Woods","Al","Woods",2018,NA,NA,NA,NA,NA,1,"DL","PHI","home","IND",31.9514423076923
"4826","A.Woods","Al","Woods",2018,NA,NA,NA,NA,NA,2,"DL","TEN","away","IND",28.9946502057613
"4834","A.Youboty","Ashton","Youboty",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"4930","B.Allen","Beau","Allen",2017,NA,NA,NA,NA,0,1,"DT","KC","home","PHI",31.1627853881279
"4932","B.Allen","Brian","Allen",2017,NA,NA,NA,NA,0,1,"DB","KC","home","PHI",31.1627853881279
"4936","B.Allen","Brian","Allen",2017,NA,NA,NA,1,NA,1,"LB","LA","home","PHI",28.5449494949495
"5086","B.Benwikere","Bene","Benwikere",2018,NA,NA,1,NA,NA,4,"DB","SEA","away","ARI",30.5119318181818
"5090","B.Bird","Bront","Bird",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"5100","B.Boddy-Calhoun","Briean","Boddy-Calhoun",2017,NA,NA,NA,NA,NA,1,"DB","CLE","home","CIN",32.759496124031
"5114","B.Boddy-Calhoun","Briean","Boddy-Calhoun",2018,NA,NA,NA,1,NA,1,"DB","OAK","home","CLE",38.8654371584699
"5128","B.Breeland","Bashaud","Breeland",2017,NA,NA,NA,NA,NA,2,"DB","LA","home","WAS",29.0342342342342
"5142","B.Browner","Brandon","Browner",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"5156","B.Callahan","Bryce","Callahan",2017,NA,NA,NA,NA,NA,1,"DB","CIN","home","CHI",29.8565727699531
"5170","B.Callahan","Bryce","Callahan",2018,NA,NA,NA,1,0,5,"DB","MIA","home","CHI",35.1031353135314
"5184","B.Callahan","Bryce","Callahan",2018,3,NA,NA,NA,1,4,"DB","NYJ","away","CHI",28.8337719298246
"5198","B.Carr","Brandon","Carr",2018,3,1,NA,NA,NA,3,"DB","BUF","away","BAL",32.5727777777778
"5212","B.Carr","Brandon","Carr",2017,4,1,NA,NA,NA,3,"DB","CLE","away","BAL",31.0030797101449
"5226","B.Carr","Brandon","Carr",2017,1,NA,NA,NA,NA,3,"DB","IND","away","BAL",33.0576131687243
"5240","B.Carr","Brandon","Carr",2017,NA,NA,NA,1,NA,1,"DB","OAK","home","BAL",29.4215277777778
"5254","B.Carr","Brandon","Carr",2017,NA,NA,NA,1,NA,3,"DB","TEN","home","BAL",29.3914215686275
"5286","B.Carter","Bruce","Carter",2017,NA,NA,NA,1,NA,NA,"LB","MIA","home","NYJ",33.3058333333333
"5384","B.Copeland","Brandon","Copeland",2018,NA,NA,NA,NA,0,NA,"LB","DEN","away","NYJ",31.0952127659574
"5394","B.Countess","Blake","Countess",2017,NA,NA,NA,4,0,7,"DB","ARI","away","LA",25.9487261146497
"5408","B.Countess","Blake","Countess",2017,NA,NA,NA,NA,NA,1,"DB","SEA","away","LA",28.2134099616858
"5426","B.Coyle","Brock","Coyle",2017,NA,NA,NA,1,NA,3,"LB","SEA","away","SF",31.4330426356589
"5462","B.Dunn","Brandon","Dunn",2017,NA,NA,NA,NA,NA,1,"DT","SF","away","HOU",31.6140350877193
"5471","B.Dupree","Bud","Dupree",2018,NA,NA,NA,NA,2,4,"OLB","CAR","away","PIT",26.1120253164557
"5485","B.Dupree","Bud","Dupree",2017,NA,NA,NA,NA,NA,1,"OLB","KC","home","PIT",36.547380952381
"5513","B.Goodson","B.J.","Goodson",2017,NA,NA,1,1,NA,4,"OLB","LAC","away","NYG",32.1881666666667
"5531","B.Graham","Brandon","Graham",2018,NA,NA,NA,NA,NA,1,"DE","CAR","away","PHI",36.1308888888889
"5545","B.Graham","Brandon","Graham",2017,NA,NA,NA,2,NA,3,"DE","DEN","away","PHI",29.7246296296296
"5559","B.Graham","Brandon","Graham",2017,1,NA,NA,NA,NA,NA,"DE","NYG","away","PHI",35.8091575091575
"5573","B.Graham","Brandon","Graham",2018,NA,NA,NA,4,0,NA,"DE","TB","home","PHI",32.391875
"5590","B.Grimes","Brent","Grimes",2018,1,NA,1,1,NA,2,"DB","CAR","home","TB",32.0881782945736
"5604","B.Grimes","Brent","Grimes",2018,NA,NA,NA,NA,NA,3,"DB","SF","away","TB",29.7664705882353
"5713","B.Irvin","Bruce","Irvin",2017,NA,NA,1,NA,1,3,"DE","DEN","away","OAK",32.5446666666667
"5727","B.Irvin","Bruce","Irvin",2017,NA,NA,1,1,0,6,"DE","NYG","away","OAK",29.9234939759036
"5930","B.Jacobs","Ben","Jacobs",2017,NA,NA,NA,NA,NA,1,"LB","CAR","away","ATL",33.7099593495935
"5944","B.Jacobs","Ben","Jacobs",2018,NA,NA,NA,NA,0,NA,"LB","TB","away","CAR",27.775
"5958","B.Johnson","Brandon","Johnson",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"5982","B.Jones","Brad","Jones",2017,2,NA,NA,1,NA,4,"DB","ARI","home","DAL",32.6579207920792
"6024","B.Jones","Brad","Jones",2018,1,NA,NA,1,NA,5,"DB","ATL","home","DAL",29.1954106280193
"6066","B.Jones","Brad","Jones",2017,NA,NA,NA,NA,NA,1,"DB","DAL","away","NYG",31.3029535864979
"6108","B.Jones","Brad","Jones",2017,NA,NA,NA,NA,NA,2,"DB","DEN","home","DAL",28.8602836879433
"6150","B.Jones","Brad","Jones",2017,NA,NA,NA,1,0,3,"DB","GB","away","DAL",34.6267932489451
"6192","B.Jones","Brad","Jones",2018,1,NA,NA,NA,NA,2,"DB","IND","home","DAL",33.5703488372093
"6234","B.Jones","Brad","Jones",2017,NA,NA,NA,4,NA,2,"DB","KC","away","DAL",30.9106060606061
"6276","B.Jones","Brad","Jones",2017,NA,NA,NA,NA,NA,5,"DB","LAC","away","DAL",33.1922619047619
"6318","B.Jones","Brad","Jones",2017,NA,NA,NA,NA,NA,1,"DB","NYG","away","ARI",29.1736434108527
"6360","B.Jones","Brad","Jones",2018,NA,NA,NA,NA,NA,6,"DB","NYG","away","DAL",34.1668518518519
"6402","B.Jones","Brad","Jones",2017,1,NA,NA,NA,NA,1,"DB","OAK","home","DAL",34.0052325581395
"6444","B.Jones","Brad","Jones",2018,NA,NA,NA,NA,NA,2,"DB","PHI","away","DAL",37.3244131455399
"6486","B.Jones","Brad","Jones",2018,2,NA,NA,NA,NA,4,"DB","PHI","home","DAL",33.8675555555556
"6528","B.Jones","Brad","Jones",2018,2,NA,NA,1,NA,4,"DB","SEA","home","DAL",31.0801075268817
"6570","B.Jones","Brad","Jones",2018,1,NA,NA,NA,NA,2,"DB","TEN","away","DAL",32.7181992337165
"6612","B.Jones","Brad","Jones",2018,NA,NA,NA,NA,NA,3,"DB","WAS","away","DAL",33.4271084337349
"6654","B.Jones","Brad","Jones",2018,NA,NA,NA,2,NA,2,"DB","WAS","home","DAL",31.4020325203252
"6666","B.Logan","Bennie","Logan",2017,NA,NA,NA,1,NA,1,"DT","DAL","home","KC",29.8507662835249
"6680","B.Logan","Bennie","Logan",2018,NA,NA,NA,NA,NA,1,"DT","NYJ","away","TEN",33.7601851851852
"6700","B.Marshall","Brandon","Marshall",2018,NA,NA,NA,3,NA,1,"LB","CLE","away","DEN",31.7698039215686
"6742","B.Marshall","Brandon","Marshall",2017,NA,NA,1,NA,NA,6,"LB","NYJ","away","DEN",32.7615384615385
"6770","B.Martinez","Blake","Martinez",2017,NA,NA,NA,NA,1,5,"LB","ATL","home","GB",31.1701646090535
"6784","B.Martinez","Blake","Martinez",2017,NA,NA,NA,NA,NA,1,"LB","GB","home","NO",27.9740990990991
"6798","B.Martinez","Blake","Martinez",2017,1,NA,NA,2,0,3,"LB","TB","away","GB",31.8011904761905
"6808","B.Maxwell","Byron","Maxwell",2017,NA,NA,NA,NA,NA,3,"DB","SF","home","SEA",29.5720338983051
"6819","B.Mayowa","Benson","Mayowa",2017,NA,NA,NA,NA,0,1,"DE","LA","away","DAL",34.2095744680851
"6836","B.McCain","Bobby","McCain",2017,NA,NA,NA,NA,NA,5,"DB","ATL","home","MIA",29.6397260273973
"6850","B.McCain","Bobby","McCain",2018,NA,NA,NA,NA,NA,4,"DB","DET","away","MIA",32.1926666666667
"6864","B.McCain","Bobby","McCain",2017,NA,NA,NA,NA,NA,1,"DB","JAX","home","TEN",30.7858024691358
"6878","B.McCain","Bobby","McCain",2018,1,1,NA,2,NA,NA,"DB","NE","home","MIA",27.8251773049645
"6892","B.McCain","Bobby","McCain",2017,NA,NA,NA,NA,NA,1,"DB","OAK","away","TEN",32.1117424242424
"6952","B.McKinney","Benardrick","McKinney",2018,NA,NA,NA,NA,NA,7,"LB","DAL","away","HOU",32.6698312236287
"6966","B.McKinney","Benardrick","McKinney",2017,NA,NA,NA,1,NA,4,"LB","JAX","home","HOU",28.7790740740741
"6980","B.McKinney","Benardrick","McKinney",2018,NA,NA,NA,2,NA,3,"LB","NYG","away","HOU",31.1713080168776
"6994","B.McKinney","Benardrick","McKinney",2017,NA,NA,NA,1,NA,6,"LB","TEN","home","HOU",32.1861471861472
"7002","B.Mebane","Brandon","Mebane",2018,NA,NA,NA,NA,NA,1,"DT","DEN","away","LAC",32.590990990991
"7025","B.Mingo","Barkevious","Mingo",2017,NA,NA,NA,NA,1,3,"OLB","DEN","away","IND",32.1595709570957
"7039","B.Mingo","Barkevious","Mingo",2017,2,NA,NA,NA,NA,1,"OLB","PIT","away","IND",33.4437037037037
"7050","B.Orakpo","Brian","Orakpo",2017,NA,NA,1,NA,1,1,"LB","CIN","away","TEN",30.8210784313725
"7064","B.Orakpo","Brian","Orakpo",2018,NA,NA,NA,NA,0,1,"LB","LAC","home","TEN",32.3474576271186
"7074","B.Poole","Brian","Poole",2018,1,1,NA,NA,1,5,"DB","ARI","away","ATL",31.3088888888889
"7088","B.Poole","Brian","Poole",2017,1,NA,NA,NA,NA,4,"DB","GB","away","ATL",31.6927304964539
"7102","B.Poole","Brian","Poole",2018,1,1,NA,NA,NA,5,"DB","TB","away","ATL",32.5107723577236
"7128","B.Price","Brian","Price",2017,1,NA,NA,NA,0,NA,"DT","SF","home","DAL",30.4224279835391
"7134","B.Reed","Brooks","Reed",2018,NA,NA,NA,NA,NA,1,"LB","ARI","away","ATL",31.3088888888889
"7176","B.Reed","Brooks","Reed",2018,NA,NA,NA,1,NA,NA,"LB","GB","home","ATL",32.1114814814815
"7225","B.Robison","Brian","Robison",2017,NA,NA,NA,NA,NA,1,"DE","DET","away","MIN",29.8827651515152
"7242","B.Roby","Bradley","Roby",2017,NA,NA,NA,NA,NA,2,"DB","KC","home","DEN",30.7591954022989
"7256","B.Roby","Bradley","Roby",2017,1,NA,NA,NA,NA,5,"DB","PHI","home","DEN",30.2494505494506
"7274","B.Scarlett","Brennan","Scarlett",2017,NA,NA,NA,NA,NA,4,"LB","BAL","home","HOU",32.0717391304348
"7288","B.Scarlett","Brennan","Scarlett",2017,1,NA,NA,NA,NA,NA,"LB","SEA","home","HOU",34.7376404494382
"7312","B.Skrine","Buster","Skrine",2018,1,NA,1,NA,NA,2,"DB","JAX","home","NYJ",33.0901360544218
"7338","B.Thompson","Brandon","Thompson",NA,NA,NA,NA,NA,NA,NA,"DT",NA,NA,NA,NA
"7366","B.Urban","Brent","Urban",2018,1,NA,NA,1,NA,1,"DT","DEN","away","BAL",32.2029069767442
"7372","B.Urlacher","Brian","Urlacher",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"7386","B.Wagner","Bobby","Wagner",2017,NA,NA,NA,2,1,4,"LB","IND","away","SEA",26.5292181069959
"7400","B.Wagner","Bobby","Wagner",2018,NA,NA,NA,4,NA,3,"LB","SF","home","SEA",34.7580321285141
"7410","B.Webb","B.W.","Webb",2018,1,NA,NA,1,NA,1,"DB","NO","away","NYG",32.8801498127341
"7520","B.Williams","Brandon","Williams",2017,1,NA,NA,2,NA,3,"DT","CIN","away","BAL",28.5755775577558
"7522","B.Williams","Brandon","Williams",2017,1,NA,NA,2,NA,3,"DB","CIN","away","BAL",28.5755775577558
"7702","B.Williams","Brandon","Williams",2017,NA,NA,NA,1,NA,NA,"DT","DET","home","ARI",30.2624074074074
"7704","B.Williams","Brandon","Williams",2017,NA,NA,NA,1,NA,NA,"DB","DET","home","ARI",30.2624074074074
"7884","B.Williams","Brandon","Williams",2018,NA,NA,NA,NA,NA,1,"DT","OAK","away","BAL",25.393125
"7886","B.Williams","Brandon","Williams",2018,NA,NA,NA,NA,NA,1,"DB","OAK","away","BAL",25.393125
"8054","B.Wreh-Wilson","Blidi","Wreh-Wilson",2017,NA,NA,NA,NA,NA,1,"DB","NE","home","ATL",28.3015957446809
"8096","C.Allen","Cortez","Allen",2017,NA,NA,NA,NA,NA,2,"DB","NO","away","MIA",35.0309259259259
"8100","C.Allen","Chase","Allen",2017,NA,NA,NA,NA,NA,7,"LB","NYJ","home","MIA",26.9537037037037
"8152","C.Awuzie","Chidobe","Awuzie",2018,NA,NA,NA,NA,NA,3,"DB","HOU","home","DAL",34.724358974359
"8166","C.Awuzie","Chidobe","Awuzie",2017,3,NA,NA,NA,NA,1,"DB","WAS","away","DAL",30.1262820512821
"8200","C.Baker","Chris","Baker",2017,NA,NA,NA,2,NA,1,"DL","CAR","home","TB",34.2297619047619
"8206","C.Baker","Chase","Baker",2017,NA,NA,NA,NA,0,NA,"DT","CHI","away","TB",32.5952991452991
"8275","C.Barwin","Connor","Barwin",2018,1,NA,NA,NA,0,NA,"DE","JAX","away","NYG",32.6486434108527
"8345","C.Brown","Cody","Brown",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"8348","C.Brown","Cornelius","Brown",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
